class,avg_BrdIndx,avg_Area,avg_Round,avg_Bright,avg_Compact,avg_ShpIndx,avg_Mean_G,avg_Mean_R,avg_Mean_NIR,avg_SD_G,avg_SD_R,avg_SD_NIR,avg_LW,avg_GLCM1,avg_Rect,avg_GLCM2,avg_Dens,avg_Assym,avg_NDVI,avg_BordLngth,avg_GLCM3
car ,1.321428571,96.14285714,1.098571429,227.7885714,1.33,1.427142857,204.5171429,237.8742857,240.9657143,26.74142857,27.22285714,25.11,2.027142857,0.497142857,0.852857143,6.281428571,1.66,0.705714286,-0.08,56,3865.407143
concrete ,4.057142857,4542.857143,1.735714286,209.6814286,2.835714286,4.418571429,182.9671429,222.0671429,224.0157143,16.90428571,17.52571429,17.24428571,2.164285714,0.691428571,0.548571429,7.81,1.395714286,0.735714286,-0.097142857,1193.714286,2079.558571
concrete ,2.047142857,3416.428571,1.288571429,226.0614286,1.938571429,2.205714286,203.59,236.59,238.0057143,12.12857143,12.32142857,12.15857143,2.04,0.684285714,0.737142857,6.962857143,1.678571429,0.724285714,-0.072857143,478.8571429,1686.251429
concrete ,2.951428571,6492.857143,1.748571429,230.1042857,2.662857143,3.414285714,203.7942857,243.3571429,243.1542857,10.79857143,10.21285714,10.11,2.925714286,0.685714286,0.675714286,7.058571429,1.34,0.877142857,-0.09,1052.857143,1897.784286
concrete ,2.588571429,7999.714286,2.052857143,195.4242857,3.274285714,7.057142857,174.1157143,205.2714286,206.8871429,15.22285714,13.50857143,14.31857143,26.63,0.81,0.575714286,7.837142857,0.465714286,0.997142857,-0.082857143,2755.142857,1445.695714
tree ,3.077142857,2467.571429,1.498571429,163.3157143,2.261428571,3.29,226.0971429,121.8571429,141.9942857,22.64428571,20.96428571,21.43285714,1.824285714,0.762857143,0.721428571,7.797142857,1.734285714,0.65,0.3,613.4285714,1670.652857
car ,2.311428571,1457.428571,1.364285714,150.7314286,1.942857143,2.542857143,131.8928571,158.2671429,162.0314286,42.03428571,43.17285714,42.26714286,2.137142857,0.731428571,0.721428571,7.34,1.465714286,0.752857143,-0.085714286,408.5714286,2360.821429
car ,1.68,876.8571429,0.805714286,180.6557143,1.558571429,1.808571429,159.0685714,189.7942857,193.1085714,40.81714286,43.68142857,42.38428571,1.96,0.651428571,0.835714286,7.088571429,1.745714286,0.608571429,-0.085714286,240.8571429,2303.697143
building ,1.238571429,2774.428571,0.53,222.2071429,1.305714286,1.257142857,191.0542857,235.6085714,239.95,13.90285714,10.37857143,9.797142857,1.13,0.764285714,0.908571429,7.124285714,2.298571429,0.218571429,-0.104285714,261.4285714,1294.781429
tree ,2.414285714,655.2857143,1.368571429,124.0414286,2.708571429,2.594285714,176.2328571,92.39571429,103.4857143,38.87857143,23.42142857,24.02571429,1.841428571,0.832857143,0.65,7.762857143,1.641428571,0.561428571,0.31,259.7142857,1463.388571
building ,1.475714286,4494,0.64,212.74,1.174285714,1.514285714,172.7128571,229.3,236.2085714,6.314285714,6.2,6.401428571,1.52,0.298571429,0.94,6.377142857,2.214285714,0.438571429,-0.14,406,3221.262857
asphalt ,3.897142857,3885.428571,1.797142857,86.95,2.835714286,3.978571429,72.38285714,91.99428571,96.48142857,18.77428571,19.74,19.67571429,1.347142857,0.694285714,0.6,7.662857143,1.675714286,0.428571429,-0.121428571,939.1428571,1793.055714
building ,1.588571429,1735.142857,1.111428571,181.6857143,1.748571429,1.798571429,169.0242857,204.1685714,171.8542857,17.20571429,15.32142857,17.95285714,2.804285714,0.644285714,0.782857143,7.337142857,1.621428571,0.802857143,-0.094285714,298.5714286,2198.295714
grass ,1.088571429,337,0.328571429,175.44,1.175714286,1.141428571,213.5042857,149.0914286,163.7185714,10.67714286,16.32428571,15.41142857,1.798571429,0.505714286,0.918571429,6.89,2.037142857,0.52,0.181428571,83.71428571,2876.27
shadow ,2.045714286,1125.857143,0.984285714,51.87,2.012857143,2.097142857,47.14428571,51.33857143,57.13285714,15.92857143,15.09428571,15.44571429,1.37,0.795714286,0.782857143,7.365714286,2.035714286,0.434285714,-0.045714286,275.4285714,1417.357143
building ,1.417142857,2128.857143,0.727142857,207.3457143,1.47,1.464285714,197.3971429,236.6285714,188.0128571,12.38714286,13.55428571,17.43428571,1.527142857,0.605714286,0.852857143,6.932857143,2.134285714,0.422857143,-0.091428571,270.8571429,2107.995714
tree ,2.165714286,507.8571429,0.872857143,129.2242857,1.894285714,2.207142857,189.2614286,91.41714286,107.0085714,23.14,16.55,16.46714286,1.052857143,0.821428571,0.787142857,7.722857143,2.05,0.107142857,0.35,192,1304.697143
soil ,3.927142857,2608.285714,2.088571429,221.2642857,3.364285714,4.018571429,218.4085714,223.2171429,222.1614286,13.64857143,18.76285714,18.84428571,1.227142857,0.615714286,0.508571429,7.46,1.54,0.498571429,-0.01,794,2489.222857
building ,1.198571429,2884.428571,0.802857143,244.5571429,1.322857143,1.224285714,229.9314286,251.6957143,252.0328571,8.145714286,6.78,5.802857143,1.257142857,0.502857143,0.85,6.685714286,2.188571429,0.422857143,-0.044285714,262.2857143,2674.264286
shadow ,1.87,1404.142857,1.535714286,58.27714286,2.314285714,2.012857143,69.46285714,49.83,55.53285714,29.36428571,22.80285714,21.37,1.87,0.791428571,0.648571429,7.525714286,1.52,0.731428571,0.148571429,329.7142857,1482.754286
pool ,1.301428571,595.5714286,0.505714286,171.9014286,1.3,1.392857143,115.7871429,177.8171429,222.0971429,31.67428571,28.30142857,29.01571429,1.921428571,0.791428571,0.861428571,7.334285714,1.998571429,0.527142857,-0.232857143,130.2857143,1496.84
shadow ,2.734285714,415.5714286,1.915714286,75,3.045714286,2.871428571,77.08142857,71.63428571,76.29,27.35857143,26.82285714,24.32714286,1.597142857,0.735714286,0.565714286,7.66,1.498571429,0.594285714,0.031428571,230,2197.384286
concrete ,4.065714286,3882.714286,2.362857143,208.6742857,5.072857143,5.205714286,186.1371429,219.6042857,220.29,14.51571429,14.28285714,14.31571429,4.341428571,0.788571429,0.477142857,7.464285714,0.841428571,0.96,-0.082857143,1310.857143,1504.54
tree ,2.914285714,806.8571429,1.841428571,136.4814286,2.98,2.971428571,170.04,114.2928571,125.1242857,27.44571429,23.72571429,22.10428571,1.231428571,0.791428571,0.652857143,8.028571429,1.654285714,0.29,0.192857143,332.5714286,1616.795714
grass ,2.298571429,1330.714286,1.572857143,150.1114286,1.822857143,2.41,195.4885714,119.3,135.5442857,16.84428571,15.79857143,14.02,1.591428571,0.714285714,0.69,7.641428571,1.775714286,0.415714286,0.24,339.4285714,1733.031429
concrete ,2.684285714,8690.571429,1.645714286,236.3385714,2.994285714,2.94,210.68,249.0485714,249.2828571,8.73,7.734285714,7.37,2.318571429,0.638571429,0.614285714,6.842857143,1.43,0.791428571,-0.081428571,1076.857143,2020.437143
grass ,2.932857143,2604.714286,1.488571429,174.8057143,2.791428571,3.248571429,201.92,159.25,163.2385714,12.77,13.12571429,12.07714286,2.378571429,0.774285714,0.69,7.415714286,1.525714286,0.79,0.12,616.5714286,1504
building ,1.32,1162,0.64,242.8828571,1.175714286,1.352857143,226.1328571,251.6085714,250.8985714,9.518571429,6.025714286,7.378571429,1.42,0.608571429,0.9,6.7,2.221428571,0.318571429,-0.05,184.5714286,2226.697143
building ,1.834285714,1661.285714,1.395714286,179.0014286,2.01,1.9,166.0285714,205.2414286,165.7314286,12.62571429,13.74,11.53714286,1.285714286,0.681428571,0.721428571,7.17,1.877142857,0.427142857,-0.102857143,304,1755.034286
building ,1.967142857,778,1.281428571,190.3814286,2.008571429,2.222857143,172.5671429,197.4371429,201.1471429,17.92285714,19.49285714,19.58571429,2.43,0.777142857,0.711428571,7.29,1.514285714,0.822857143,-0.07,228.2857143,1473.985714
asphalt ,2.368571429,6345,1.037142857,79.14857143,1.804285714,2.478571429,63.09285714,85.00714286,89.34571429,10.91571429,11.85142857,12.04857143,1.7,0.695714286,0.807142857,7.117142857,1.992857143,0.585714286,-0.147142857,701.7142857,1761.722857
shadow ,1.544285714,484.8571429,1.134285714,57.05571429,2.064285714,1.747142857,70.44857143,46.53428571,54.18714286,23.99571429,16.93,16.67285714,2.527142857,0.761428571,0.677142857,7.388571429,1.47,0.808571429,0.201428571,152.2857143,1787.107143
building ,1.622857143,4557,1.307142857,231.0171429,1.848571429,2.381428571,216.7871429,251.4,224.8642857,9.8,6.97,10.65,6.49,0.625714286,0.72,7.018571429,0.98,0.981428571,-0.072857143,639.4285714,2257.921429
grass ,2.602857143,2072,1.571428571,146.9057143,2.41,2.672857143,212.3814286,104.8357143,123.5014286,17.20142857,14.11,13.54857143,1.338571429,0.798571429,0.701428571,7.517142857,1.817142857,0.401428571,0.341428571,483.1428571,1224.958571
tree ,3.791428571,2624.285714,1.794285714,120.9557143,3.091428571,3.961428571,176.22,87.64142857,99.01142857,33.15285714,24.83857143,24.91714286,1.675714286,0.838571429,0.514285714,8.555714286,1.567142857,0.325714286,0.337142857,793.1428571,1175.207143
building ,2.48,4332,1.544285714,222.0985714,2.231428571,2.788571429,201.2442857,244.3814286,220.6728571,12.04428571,10.99142857,11.41,3.381428571,0.66,0.692857143,7.207142857,1.425714286,0.671428571,-0.094285714,742.5714286,2056.977143
asphalt ,3.978571429,4602.714286,1.77,71.32142857,2.32,4.091428571,59.58714286,74.40142857,79.97857143,14.99428571,13.81428571,13.80142857,1.488571429,0.65,0.615714286,7.358571429,1.687142857,0.612857143,-0.112857143,1117.142857,2123.168571
tree ,4.007142857,9532.428571,2.454285714,231.7442857,5.464285714,4.188571429,204.9757143,245.0514286,245.2057143,9.512857143,8.95,8.881428571,1.791428571,0.644285714,0.47,6.955714286,1.284285714,0.494285714,-0.088571429,1704.857143,2116.557143
tree ,2.714285714,1370.714286,1.392857143,134.74,2.265714286,3.067142857,193.5985714,96.94142857,113.6857143,19.76142857,13.41285714,14.14857143,2.397142857,0.805714286,0.707142857,7.918571429,1.608571429,0.764285714,0.33,394.2857143,1533.77
concrete ,3.347142857,8617.285714,2.465714286,240.1357143,4.384285714,3.498571429,216.98,251.6214286,251.8028571,8.197142857,5.02,4.755714286,1.971428571,0.637142857,0.481428571,6.834285714,1.245714286,0.627142857,-0.075714286,1322,2175.157143
soil ,3.758571429,6239.714286,1.977142857,236.9714286,4.322857143,3.937142857,223.8057143,243.5814286,243.53,11.98571429,12.79714286,12.48142857,1.761428571,0.671428571,0.587142857,7.344285714,1.517142857,0.671428571,-0.044285714,1233.142857,2030.49
tree ,1.577142857,686.4285714,0.921428571,114.4585714,1.677142857,1.677142857,165.3628571,83.80714286,94.20428571,24.64285714,15.01857143,15.36571429,1.605714286,0.882857143,0.855714286,7.714285714,1.975714286,0.485714286,0.325714286,164.8571429,907.1928571
building ,1.445714286,1015.428571,1.084285714,187.8557143,1.61,1.624285714,163.6957143,205.5014286,194.3642857,9.107142857,10.78,9.68,2.498571429,0.654285714,0.801428571,6.852857143,1.641428571,0.825714286,-0.112857143,206.2857143,2208.038571
building ,1.797142857,5250.428571,0.734285714,234.7742857,1.262857143,1.94,202.3414286,250.9714286,251.0042857,11.01,9.978571429,9.987142857,2.142857143,0.527142857,0.925714286,6.625714286,2.021428571,0.672857143,-0.11,558.5714286,1979.721429
building ,1.388571429,2525.142857,0.704285714,212.2557143,1.251428571,1.56,187.46,232.3271429,216.98,8.934285714,10.64,9.068571429,2.578571429,0.605714286,0.921428571,6.742857143,1.961428571,0.677142857,-0.107142857,312.8571429,2215.995714
grass ,2.778571429,6101.285714,1.085714286,150.7314286,2.015714286,2.834285714,164.4085714,143.86,143.9271429,14.52,16.55428571,15.67428571,1.327142857,0.722857143,0.757142857,7.587142857,2.024285714,0.294285714,0.065714286,861.4285714,1710.615714
grass ,4.545714286,5136.428571,1.844285714,144.84,2.814285714,4.811428571,158.97,137.8742857,137.6771429,10.59571429,10.75428571,10.42285714,1.787142857,0.694285714,0.658571429,7.268571429,1.658571429,0.528571429,0.072857143,1350.285714,2036.594286
shadow ,1.844285714,1188,0.622857143,51.07,1.52,1.891428571,56.58428571,45.35428571,51.26714286,17.56714286,13.7,13.17571429,1.224285714,0.79,0.87,7.332857143,2.215714286,0.202857143,0.107142857,251.1428571,1528.854286
soil ,3.198571429,2834.571429,1.575714286,223.61,2.202857143,3.418571429,216.6057143,227.7842857,226.4371429,12.12714286,17.1,17.75571429,1.938571429,0.662857143,0.644285714,7.36,1.6,0.707142857,-0.021428571,687.1428571,2254.408571
soil ,3.354285714,3419.142857,1.648571429,217.1642857,2.77,3.581428571,214.3457143,219.3085714,217.8428571,14.49,19.21857143,19.40714286,1.87,0.627142857,0.605714286,7.717142857,1.602857143,0.574285714,-0.008571429,775.4285714,2482.014286
shadow ,2.914285714,2501.285714,1.531428571,65.58285714,2.371428571,3.224285714,71.99857143,56.86857143,67.88857143,31.81571429,20.23,23.65857143,2.31,0.858571429,0.637142857,8.075714286,1.542857143,0.702857143,0.112857143,675.1428571,1105.637143
tree ,3.204285714,1532.142857,1.752857143,127.5628571,2.782857143,3.394285714,163.9057143,103.1628571,115.6214286,31.63857143,25.63,25.37428571,1.892857143,0.851428571,0.614285714,8.391428571,1.54,0.635714286,0.227142857,521.1428571,1097.942857
car ,2.57,1666.857143,1.005714286,207.9428571,2.248571429,2.654285714,194.6014286,213.1342857,216.0985714,26.45,26.99571429,25.69571429,1.591428571,0.691428571,0.744285714,7.364285714,1.694285714,0.522857143,-0.047142857,510,2344.802857
car ,1.205714286,130.5714286,0.305714286,226.8414286,1.4,1.334285714,215.0957143,229.8442857,235.5771429,35.20571429,36.33142857,31.41285714,2.001428571,0.454285714,0.908571429,6.657142857,1.84,0.592857143,-0.03,60.85714286,3601.648571
asphalt ,1.47,646.8571429,1.275714286,70.47857143,1.84,1.88,68.04142857,69.21571429,74.18428571,22.26142857,21.01,20.80285714,4.004285714,0.764285714,0.712857143,7.345714286,1.227142857,0.924285714,-0.004285714,190.8571429,1663.875714
pool ,1.475714286,441.4285714,0.58,168.9985714,1.648571429,1.55,97.77285714,177.5857143,231.6314286,27.52857143,32.82142857,27.84428571,1.617142857,0.762857143,0.838571429,7.205714286,1.991428571,0.442857143,-0.291428571,123.1428571,1746.107143
building ,1.564285714,1559.571429,0.667142857,235.3457143,1.617142857,1.614285714,208.5714286,248.3085714,249.15,11.58428571,10.38285714,9.951428571,1.5,0.608571429,0.848571429,6.795714286,2.112857143,0.487142857,-0.087142857,246.8571429,1975.991429
tree ,3.572857143,2605.571429,1.747142857,122.6771429,2.464285714,3.655714286,178.2785714,87.13,102.6257143,20.88285714,16.48285714,16.41714286,1.402857143,0.815714286,0.567142857,8.222857143,1.721428571,0.367142857,0.342857143,752,1292.297143
grass ,2.347142857,1732.142857,1.285714286,148.5842857,1.984285714,2.404285714,175.03,132.9671429,137.75,21.43571429,21.33857143,19.36428571,1.315714286,0.804285714,0.781428571,8.014285714,2.025714286,0.407142857,0.134285714,396,1432.742857
grass ,3.917142857,4858.571429,1.498571429,171.2542857,2.471428571,4.055714286,185.2928571,164.2757143,164.1857143,14.26142857,17.13285714,16.00428571,1.534285714,0.745714286,0.692857143,7.58,1.817142857,0.527142857,0.06,1106.571429,1619.747143
car ,1.974285714,1778.714286,0.878571429,143.03,1.4,2.63,130.3314286,164.1071429,134.6514286,27.92428571,32.28142857,31.35285714,4.12,0.677142857,0.831428571,7.311428571,1.282857143,0.807142857,-0.115714286,492.8571429,2934.408571
car ,2.72,924.4285714,1.345714286,202.9142857,2.585714286,2.875714286,195.7485714,203.4328571,209.5628571,36.08428571,32.89,32.24,1.687142857,0.695714286,0.577142857,7.502857143,1.46,0.617142857,-0.014285714,395.1428571,2198.96
pool ,1.547142857,321.5714286,0.811428571,150.7985714,1.607142857,1.624285714,87.90857143,155.4157143,209.0628571,31.26714286,41.55285714,46.11714286,1.494285714,0.73,0.827142857,7.274285714,1.91,0.42,-0.275714286,111.1428571,2088.741429
car ,2.062857143,1572.571429,1.052857143,221.8614286,1.47,2.312857143,211.4957143,226.1742857,227.9271429,17.20142857,14.24714286,12.93,2.394285714,0.617142857,0.838571429,6.965714286,1.617142857,0.75,-0.028571429,401.4285714,2759.277143
soil ,4.182857143,3521,1.605714286,195.9942857,2.678571429,4.364285714,198.1542857,195.3657143,194.4614286,13.69,18.31428571,18.38428571,1.655714286,0.672857143,0.641428571,7.708571429,1.678571429,0.477142857,0.007142857,1038.285714,2103.461429
grass ,1.482857143,907.5714286,1.462857143,140.5271429,1.894285714,1.565714286,197.9142857,102.7114286,120.9414286,15.17714286,11.43285714,12.25142857,1.77,0.728571429,0.728571429,7.26,1.69,0.698571429,0.312857143,184.2857143,1585.155714
building ,1.334285714,1776.285714,0.625714286,234.3171429,1.515714286,1.354285714,202.6371429,250.1057143,250.2028571,9.151428571,9.004285714,9.181428571,1.102857143,0.487142857,0.821428571,6.718571429,2.244285714,0.277142857,-0.104285714,228.5714286,2576.96
concrete ,2.121428571,4475.571429,1.167142857,231.72,1.964285714,2.451428571,206.3442857,243.9042857,244.9128571,9.361428571,8.122857143,7.91,2.918571429,0.605714286,0.778571429,6.811428571,1.551428571,0.871428571,-0.084285714,608.5714286,2110.192857
soil ,2.541428571,1271.857143,1.54,231.4371429,2.57,2.568571429,219.3185714,237.7085714,237.2928571,8.502857143,11.41857143,12.12285714,1.031428571,0.591428571,0.654285714,6.954285714,1.837142857,0.448571429,-0.041428571,353.7142857,2625.981429
soil ,4.465714286,4495.857143,1.867142857,198.3028571,3.288571429,4.681428571,192.6542857,201.9114286,200.34,14.51,17.34571429,17.96714286,1.628571429,0.72,0.605714286,7.804285714,1.558571429,0.537142857,-0.024285714,1273.714286,1890.908571
concrete ,3.332857143,8676.428571,2.228571429,231.51,4.264285714,4.085714286,205.8471429,244.3085714,244.3757143,8.921428571,10.12428571,10.25714286,3.558571429,0.58,0.425714286,6.944285714,0.952857143,0.86,-0.082857143,1505.428571,2372.99
building ,1.491428571,1509.428571,0.608571429,145.9757143,1.582857143,1.514285714,122.6071429,156.1685714,159.1428571,8.717142857,8.105714286,8.261428571,1.225714286,0.54,0.875714286,6.692857143,2.198571429,0.414285714,-0.12,235.1428571,2381.537143
pool ,2.597142857,1286.428571,1.162857143,91.41571429,2.19,2.672857143,79.61428571,83.20142857,111.4257143,35.11,30.46142857,36.63857143,1.182857143,0.795714286,0.651428571,7.84,1.777142857,0.234285714,-0.02,422.2857143,1545.318571
pool ,1.635714286,465.2857143,0.895714286,172.3,1.701428571,1.722857143,124.6057143,179.7357143,212.5471429,37.29428571,39.68142857,36.26428571,1.602857143,0.85,0.814285714,7.362857143,1.861428571,0.525714286,-0.198571429,144,1146.542857
pool ,1.441428571,354.5714286,0.668571429,153.2657143,1.622857143,1.567142857,88.63857143,159.9871429,211.1714286,23.61714286,22.95428571,26.98714286,1.944285714,0.755714286,0.84,7.268571429,1.87,0.61,-0.282857143,115.4285714,1903.268571
shadow ,2.12,3049.857143,1.685714286,51.17142857,2.77,3.94,52.79,46.04571429,54.67142857,22.44285714,16.99285714,17.23857143,12.37857143,0.774285714,0.634285714,7.631428571,0.651428571,0.992857143,0.064285714,876.8571429,1596.594286
building ,1.297142857,2657.285714,0.832857143,244.8342857,1.467142857,1.307142857,229.8257143,252.5157143,252.1628571,8.407142857,4.022857143,4.271428571,1.12,0.565714286,0.83,6.828571429,2.22,0.334285714,-0.05,268.8571429,2583.232857
grass ,1.787142857,2828.571429,1.372857143,145.4685714,1.621428571,2.832857143,175.8971429,125.8642857,134.64,11.34428571,14.55571429,13.50571429,8.175714286,0.672857143,0.782857143,7.27,0.984285714,0.975714286,0.168571429,564.8571429,1962.397143
shadow ,2.354285714,1057.857143,1.705714286,78.66,2.631428571,2.721428571,71.40571429,76.87142857,87.7,30.81714286,36.82285714,36.71428571,2.832857143,0.801428571,0.635714286,7.851428571,1.265714286,0.875714286,-0.034285714,340.8571429,1527.098571
building ,1.375714286,1434,1.015714286,93.96857143,1.484285714,1.47,80.69714286,104.3571429,96.84285714,10.44571429,10.72714286,10.15857143,1.815714286,0.704285714,0.821428571,7.032857143,1.888571429,0.564285714,-0.125714286,221.7142857,1942.687143
pool ,2.002857143,726.5714286,1.342857143,182.5,2.11,2.17,132.6071429,191.0771429,223.8128571,31.98,32.68714286,34.20428571,1.964285714,0.754285714,0.674285714,7.391428571,1.627142857,0.628571429,-0.201428571,224.5714286,1902.308571
pool ,1.167142857,426,0.428571429,171.5014286,1.191428571,1.221428571,98.77,179.2728571,236.4614286,25.13571429,27.59285714,29.07142857,1.662857143,0.762857143,0.92,7.374285714,2.015714286,0.545714286,-0.287142857,99.42857143,1747.548571
building ,2.102857143,3141.285714,0.992857143,207.1085714,1.761428571,2.157142857,180.3685714,219.0942857,221.8657143,13.77714286,17.67571429,18.41857143,1.304285714,0.675714286,0.78,7.22,2.038571429,0.471428571,-0.095714286,412,1898.341429
