class,avg_BrdIndx,avg_Area,avg_Round,avg_Bright,avg_Compact,avg_ShpIndx,avg_Mean_G,avg_Mean_R,avg_Mean_NIR,avg_SD_G,avg_SD_R,avg_SD_NIR,avg_LW,avg_GLCM1,avg_Rect,avg_GLCM2,avg_Dens,avg_Assym,avg_NDVI,avg_BordLngth,avg_GLCM3
concrete ,2.555714286,3536.857143,1.097142857,215.1557143,1.967142857,2.727142857,192.11,226.3314286,227.0257143,14.62428571,14.71,15.62714286,2.027142857,0.724285714,0.814285714,7.171428571,1.874285714,0.687142857,-0.081428571,658,1440.327143
building ,2.092857143,13774.71429,1.212857143,198.8157143,2.245714286,2.431428571,159.83,215.1371429,221.4771429,9.425714286,10.23142857,9.992857143,2.871428571,0.737142857,0.828571429,6.471428571,1.604285714,0.822857143,-0.148571429,763.1428571,1615.785714
shadow ,1.525714286,530.7142857,0.625714286,60.79,1.475714286,1.558571429,67.52714286,54.48857143,60.36,19.65571429,12.7,12.32142857,1.137142857,0.818571429,0.847142857,7.222857143,2.148571429,0.157142857,0.107142857,140.2857143,1354.514286
building ,1.89,7089.571429,1.324285714,234.66,2.355714286,2.128571429,199.8371429,251.6314286,252.5157143,6.548571429,4.465714286,3.967142857,2.621428571,0.422857143,0.634285714,6.53,1.39,0.891428571,-0.111428571,719.1428571,3056.438571
soil ,3.15,4052.428571,1.688571429,215.6828571,2.431428571,3.38,243.6442857,197.8771429,205.54,7.791428571,15.69571429,12.79428571,2.125714286,0.58,0.705714286,6.498571429,1.611428571,0.667142857,0.104285714,869.7142857,2407.518571
asphalt ,3.72,4663.285714,1.615714286,74.15428571,2.197142857,4.07,63.75714286,76.27,82.43857143,13.44571429,14.32285714,14.16857143,2.218571429,0.638571429,0.655714286,7.374285714,1.528571429,0.792857143,-0.091428571,1076.571429,2514.478571
grass ,2.634285714,6123.428571,1.22,206.6057143,1.925714286,2.748571429,227.39,195.5928571,196.8328571,11.1,13.15714286,12.08714286,1.572857143,0.73,0.778571429,7.2,1.968571429,0.471428571,0.074285714,812,1700.517143
grass ,3.062857143,4812.285714,2.568571429,191.8814286,3.792857143,4.037142857,216.55,177.5557143,181.5285714,13.47,13.20285714,11.00857143,4.584285714,0.798571429,0.431428571,7.3,0.902857143,0.89,0.098571429,1108,1401.332857
soil ,3.088571429,8210.714286,1.53,205.2814286,2.311428571,3.23,225.2928571,195.86,194.69,8.541428571,12.30857143,10.84714286,1.715714286,0.662857143,0.751428571,6.88,1.83,0.628571429,0.067142857,1041.428571,2064.962857
concrete ,2.35,10885.85714,1.004285714,225.87,1.802857143,2.922857143,202.8585714,236.5714286,238.1785714,9.598571429,9.05,8.874285714,3.917142857,0.624285714,0.785714286,6.83,1.547142857,0.841428571,-0.075714286,1056.285714,2099.254286
soil ,3.291428571,4256.571429,1.851428571,237.5014286,3.085714286,3.518571429,216.41,248.9542857,247.1328571,8.391428571,7.188571429,7.662857143,2.005714286,0.747142857,0.578571429,6.54,1.478571429,0.634285714,-0.072857143,907.4285714,1496.801429
soil ,3.13,2223.428571,1.875714286,229.5328571,3.127142857,3.182857143,221.1585714,235.7685714,231.6642857,13.63714286,15.92428571,15.58142857,1.308571429,0.73,0.507142857,7.082857143,1.542857143,0.634285714,-0.03,628.2857143,1678.41
grass ,2.084285714,1003.142857,1.282857143,168.0642857,2.184285714,2.154285714,215.6985714,136.2228571,152.2671429,17.61,15.42571429,16.80285714,1.354285714,0.804285714,0.714285714,7.582857143,1.915714286,0.544285714,0.224285714,260,1348.121429
pool ,1.585714286,338.7142857,0.935714286,131.6457143,1.734285714,1.771428571,74.9,131.5985714,188.4485714,30.19142857,39.68,41.88857143,2.147142857,0.722857143,0.745714286,7.255714286,1.652857143,0.632857143,-0.277142857,113.4285714,2271.465714
car ,3.695714286,1569.428571,2.008571429,201.4942857,3.572857143,4.121428571,185.5342857,209.3514286,209.5971429,37.07285714,35.40142857,35.72428571,2.124285714,0.711428571,0.552857143,8.042857143,1.252857143,0.645714286,-0.061428571,710,2487.885714
shadow ,2.591428571,1936.571429,1.027142857,42.37714286,1.847142857,2.735714286,49.32428571,34.62142857,43.18428571,10.48857143,7.4,7.527142857,1.817142857,0.75,0.814285714,7.091428571,1.981428571,0.541428571,0.174285714,484,1657.554286
grass ,3.27,4368.428571,1.811428571,148.78,3.26,3.877142857,193.4314286,118.7342857,134.17,35.51571429,30.92571429,27.60571429,3.184285714,0.828571429,0.602857143,8.448571429,1.33,0.854285714,0.24,1115.428571,1072.411429
grass ,2.548571429,3235.285714,1.855714286,148.1271429,2.715714286,2.725714286,194.9257143,116.78,132.6771429,12.91714286,10.70142857,10.26285714,1.925714286,0.804285714,0.567142857,7.361428571,1.41,0.715714286,0.25,577.4285714,1346.331429
asphalt ,2.677142857,2290.428571,1.727142857,72.86571429,2.427142857,3.018571429,64.57285714,75.10428571,78.92857143,17.65428571,16.99571429,16.22571429,2.585714286,0.761428571,0.651428571,7.514285714,1.448571429,0.802857143,-0.072857143,543.4285714,1696.5
grass ,2.932857143,3506,1.791428571,144.1785714,2.835714286,2.992857143,204.6942857,105.6042857,122.2371429,22.91142857,18.41857143,17.64857143,1.34,0.848571429,0.597142857,8.047142857,1.66,0.57,0.317142857,723.7142857,1045.217143
car ,2.024285714,259.7142857,1.18,198.0014286,2.094285714,2.271428571,173.6857143,210.8014286,209.5185714,28.54,30.12571429,29.88142857,2.215714286,0.584285714,0.75,7.188571429,1.502857143,0.761428571,-0.095714286,149.4285714,3294.757143
grass ,3.514285714,2131.857143,2.037142857,152.9514286,3.717142857,3.698571429,215.9628571,110.3842857,132.5071429,26.53285714,19.64571429,19.87857143,1.775714286,0.845714286,0.487142857,8.008571429,1.338571429,0.69,0.324285714,704,988.9928571
asphalt ,2.95,4937.714286,1.272857143,83.18857143,2.037142857,3.342857143,72.47142857,86.40857143,90.68285714,17.69714286,19.25,18.49571429,2.694285714,0.718571429,0.745714286,7.624285714,1.54,0.858571429,-0.088571429,909.1428571,1640.612857
grass ,3.188571429,4370.142857,1.254285714,140.2628571,2.261428571,3.434285714,165.0628571,126.1542857,129.5714286,10.86142857,11.42285714,10.35714286,2.052857143,0.758571429,0.69,7.211428571,1.722857143,0.678571429,0.135714286,844.8571429,1554.62
building ,1.774285714,1325.285714,0.814285714,160.6171429,1.675714286,1.861428571,142.7771429,166.91,172.1628571,15.02142857,16.69857143,16.39714286,1.654285714,0.76,0.757142857,7.44,1.937142857,0.538571429,-0.081428571,250.5714286,1607.778571
concrete ,1.572857143,1493.428571,1.068571429,226.2642857,1.892857143,4.318571429,213.5157143,231.9271429,233.3571429,15.62285714,25.90285714,24.77857143,28.49285714,0.59,0.77,7.497142857,0.71,0.945714286,-0.041428571,739.1428571,2815.548571
grass ,3.631428571,2750.571429,1.752857143,162.0585714,2.995714286,3.775714286,212.1514286,129.33,144.6957143,19.74428571,17.21571429,16.50857143,1.68,0.755714286,0.585714286,7.561428571,1.56,0.578571429,0.245714286,794.8571429,1492.104286
asphalt ,3.571428571,3704.857143,1.571428571,87.13571429,2.56,3.794285714,74.09,92.76142857,94.55285714,14.10142857,15.90714286,15.97571429,1.878571429,0.615714286,0.62,7.368571429,1.608571429,0.682857143,-0.11,936.5714286,2322.632857
grass ,2.092857143,2952.428571,1.132857143,142.9657143,1.718571429,2.214285714,173.5971429,124.76,130.5442857,18.04428571,19.33285714,18.35714286,1.808571429,0.777142857,0.785714286,7.635714286,1.882857143,0.607142857,0.162857143,473.1428571,1410.605714
grass ,2.1,4388.142857,0.631428571,164.01,1.877142857,2.22,233.6571429,114.0014286,144.3785714,12.18,8.92,10.18571429,1.874285714,0.84,0.845714286,7.18,2.087142857,0.578571429,0.344285714,565.1428571,1089.211429
pool ,1.975714286,569.5714286,1.14,184.8728571,2.144285714,2.064285714,137.75,203.9785714,212.8914286,48.78857143,38.02714286,31.92571429,1.38,0.894285714,0.721428571,7.624285714,1.834285714,0.322857143,-0.182857143,205.4285714,746.7014286
concrete ,3.632857143,5086.142857,2.255714286,239.6171429,4.044285714,3.801428571,214.1114286,252.3842857,252.3571429,8.227142857,5.144285714,4.97,1.738571429,0.652857143,0.397142857,6.602857143,1.258571429,0.655714286,-0.08,1081.714286,2056.184286
tree ,3.068571429,1691.285714,1.694285714,148.7957143,2.48,3.271428571,192.2757143,120.5871429,133.5228571,28.17571429,25.18571429,22.75142857,1.888571429,0.874285714,0.608571429,8.008571429,1.554285714,0.628571429,0.23,537.1428571,904.8028571
grass ,2.01,7278.571429,1.297142857,144.8985714,1.735714286,3.807142857,159.7957143,136.4014286,138.5057143,16.49428571,16.69142857,15.45,14.40285714,0.831428571,0.808571429,7.3,0.968571429,0.944285714,0.081428571,1339.142857,1129.045714
concrete ,3.215714286,1455.714286,1.69,242.5414286,2.42,3.341428571,225.4471429,250.5014286,251.6757143,11.17857143,7.484285714,6.095714286,1.677142857,0.647142857,0.51,7.125714286,1.54,0.46,-0.05,512,2386.912857
concrete ,3.28,3292.571429,2.627142857,204.0885714,4.174285714,3.471428571,179.3628571,215.9142857,216.9885714,13.09428571,14.04714286,13.49714286,1.844285714,0.731428571,0.344285714,7.285714286,1.101428571,0.732857143,-0.091428571,789.7142857,1730.262857
car ,3.474285714,604.4285714,1.978571429,154.5442857,3.42,3.677142857,146.6571429,154.73,162.2457143,42.86857143,51.01,49.66142857,1.941428571,0.681428571,0.504285714,7.572857143,1.201428571,0.764285714,-0.014285714,399.4285714,2822.321429
car ,2.337142857,203.7142857,1.932857143,144.4457143,3.874285714,3.09,129.5628571,147.8971429,155.8771429,46.98142857,44.75285714,43.50285714,4.072857143,0.675714286,0.491428571,7.04,0.848571429,0.865714286,-0.062857143,182,2756.89
grass ,3.558571429,1890.571429,1.691428571,154.7971429,2.965714286,4.082857143,214.8457143,115.0114286,134.53,20.56571429,17.20285714,16.21285714,2.72,0.801428571,0.618571429,7.894285714,1.298571429,0.825714286,0.305714286,720.2857143,1348.437143
shadow ,2.24,1111,1.034285714,60.93571429,1.994285714,2.321428571,62.04285714,56.01857143,64.74571429,22.90285714,16.33,16.32428571,1.488571429,0.777142857,0.772857143,7.528571429,1.957142857,0.454285714,0.041428571,298.8571429,1462.455714
pool ,1.565714286,633.7142857,0.822857143,129.3614286,1.675714286,1.697142857,73.67857143,127.67,186.7428571,23.42571429,28.09857143,31.27571429,2.014285714,0.731428571,0.84,7.334285714,1.864285714,0.634285714,-0.267142857,164.5714286,1513.542857
tree ,2.682857143,2269.142857,1.571428571,92.06285714,2.837142857,2.741428571,117.2857143,75.58714286,83.31714286,36.33,28.23142857,25.37857143,1.277142857,0.865714286,0.708571429,8.281428571,1.822857143,0.44,0.211428571,463.4285714,1071.82
shadow ,3.11,3225.142857,1.408571429,92.72428571,2.581428571,3.181428571,100.5171429,83.92714286,93.72571429,30.03857143,18.73142857,18.23,1.172857143,0.887142857,0.672857143,7.505714286,1.835714286,0.218571429,0.061428571,868.5714286,782.2542857
grass ,3.862857143,5094,1.91,145.8128571,3.187142857,3.937142857,205.2357143,105.9557143,126.2485714,17.96714286,15.11857143,15.51142857,1.28,0.831428571,0.587142857,7.732857143,1.627142857,0.49,0.317142857,1134.857143,1134.545714
pool ,1.267142857,1128.142857,1.031428571,197.08,1.552857143,1.29,108.6814286,229.8328571,252.7257143,8.928571429,13.24428571,3.937142857,1.125714286,0.74,0.73,6.561428571,1.984285714,0.522857143,-0.357142857,172.2857143,1678.788571
concrete ,2.397142857,3245,1.36,222.6657143,2.361428571,2.49,199.6585714,233.3657143,234.9842857,8.511428571,10.47857143,10.76714286,1.535714286,0.604285714,0.775714286,6.781428571,1.962857143,0.397142857,-0.075714286,494.8571429,2232.341429
grass ,1.664285714,1350.285714,0.955714286,142.06,1.648571429,2.115714286,160.7857143,132.2728571,133.1328571,12.41857143,12.55857143,12.20714286,4.007142857,0.708571429,0.854285714,7.268571429,1.448571429,0.904285714,0.095714286,306.2857143,1857.227143
concrete ,2.694285714,2507,2.598571429,207.9,4.747142857,5.24,201.2342857,210.1885714,212.2757143,14.93,18.18857143,17.16428571,14.13714286,0.788571429,0.475714286,7.715714286,0.462857143,0.998571429,-0.02,1057.142857,1470.438571
asphalt ,3.752857143,7354.571429,1.835714286,70.16714286,3.127142857,4.034285714,56.38285714,74.61,79.51285714,11,11.62857143,11.63857143,1.974285714,0.552857143,0.554285714,7.031428571,1.46,0.632857143,-0.138571429,1484.285714,2310.047143
asphalt ,4.398571429,6446.285714,2.362857143,59.00714286,3.945714286,4.817142857,50.36142857,61.12571429,65.53428571,15.92428571,16.16714286,15.70285714,2.344285714,0.668571429,0.577142857,7.488571429,1.291428571,0.814285714,-0.097142857,1591.714286,1913.151429
concrete ,3.03,5117.714286,2.015714286,220.6571429,2.911428571,3.292857143,200.6285714,229.6942857,231.6514286,11.70571429,11.67,10.89714286,2.165714286,0.777142857,0.65,6.765714286,1.64,0.627142857,-0.067142857,915.4285714,1294.22
asphalt ,4.002857143,1969.285714,2.06,90.21142857,4.085714286,4.105714286,81.09571429,92.17571429,97.35571429,22.93,21.23571429,21.07428571,1.337142857,0.781428571,0.575714286,7.857142857,1.498571429,0.492857143,-0.061428571,747.4285714,1624.482857
soil ,3.164285714,14095.71429,1.718571429,152.4614286,2.65,5.865714286,165.7985714,146.2971429,145.2857143,14.00857143,13.62285714,13.21714286,11.59714286,0.832857143,0.632857143,7.472857143,0.885714286,0.945714286,0.06,2977.142857,1089.221429
shadow ,3.161428571,3600,1.535714286,52.17571429,2.498571429,3.38,49.84,49.89428571,56.78857143,21.83571429,18.25142857,18.04428571,1.97,0.774285714,0.691428571,7.747142857,1.652857143,0.657142857,-0.008571429,799.7142857,1550.58
pool ,1.705714286,417.7142857,0.788571429,160.7585714,1.718571429,1.795714286,110.4571429,161.2585714,210.5557143,33.59285714,31.32142857,25.95714286,1.562857143,0.828571429,0.821428571,7.158571429,1.922857143,0.467142857,-0.208571429,149.1428571,1264.198571
pool ,1.562857143,400.1428571,1.085714286,124.8271429,1.792857143,1.73,69.46857143,124.59,180.4257143,21.07,33.68428571,33.24142857,2.102857143,0.771428571,0.755714286,7.265714286,1.655714286,0.637142857,-0.282857143,126,1873.845714
pool ,1.207142857,341.1428571,0.305714286,127.8514286,1.251428571,1.274285714,70.00714286,126.31,187.2371429,22.03142857,28.23142857,33.75,1.591428571,0.771428571,0.897142857,6.942857143,2.018571429,0.475714286,-0.287142857,86.85714286,1512.897143
car ,3.037142857,1310,2.002857143,189.0085714,2.888571429,3.53,185.3285714,191.7614286,189.9285714,32.94571429,34.85142857,34.12571429,2.857142857,0.634285714,0.542857143,8.221428571,1.235714286,0.824285714,-0.011428571,468,2718.445714
building ,2.635714286,3699.428571,1.574285714,129.8657143,2.074285714,2.772857143,126.6057143,132.0585714,130.9328571,11.63571429,12.84285714,12.00714286,1.688571429,0.832857143,0.657142857,7.084285714,1.745714286,0.542857143,-0.021428571,616.8571429,1183.427143
concrete ,2.122857143,6104.285714,1.25,193.29,2.057142857,3.657142857,174.7571429,201.3842857,203.7271429,14.99857143,14.87285714,14.43428571,10.01428571,0.758571429,0.738571429,7.53,0.877142857,0.978571429,-0.072857143,1115.142857,1508.425714
asphalt ,3.862857143,4044.571429,1.492857143,65.03428571,2.294285714,4.007142857,54.16142857,68.41428571,72.52571429,15.51857143,16.33714286,16.22285714,1.51,0.624285714,0.712857143,7.338571429,1.858571429,0.411428571,-0.114285714,1059.142857,2173.371429
concrete ,2.284285714,4403.857143,1.562857143,219.9471429,2.201428571,3.241428571,195.6114286,231.38,232.8485714,10.07571429,12.23285714,12.22285714,5.714285714,0.655714286,0.734285714,7.017142857,1.121428571,0.924285714,-0.084285714,825.7142857,2039.885714
asphalt ,3.137142857,3481.285714,1.82,65.71285714,2.718571429,3.351428571,56.06571429,67.87714286,73.19428571,16.04,15.88,15.52,1.718571429,0.581428571,0.564285714,7.412857143,1.531428571,0.545714286,-0.092857143,800.8571429,2487.777143
building ,1.75,8276.142857,0.818571429,242.5957143,1.31,1.901428571,225.4885714,251.1171429,251.1685714,11.66428571,8.892857143,8.254285714,2.218571429,0.637142857,0.915714286,6.791428571,2.021428571,0.654285714,-0.051428571,676.2857143,1645.437143
shadow ,1.524285714,4491.142857,1.042857143,42.43142857,1.712857143,2.231428571,35.24,41.89285714,50.16142857,9.405714286,10.24142857,10.20714286,6.668571429,0.541428571,0.838571429,6.648571429,1.128571429,0.971428571,-0.087142857,581.1428571,2284.197143
shadow ,1.917142857,1311.714286,1.018571429,54.48285714,1.758571429,1.972857143,53.99285714,50.49,58.96142857,17.38857143,13.51571429,13.4,1.457142857,0.701428571,0.778571429,7.17,1.961428571,0.472857143,0.02,292.2857143,1943.197143
tree ,2.485714286,1834.142857,1.111428571,126.4771429,2.031428571,2.561428571,178.8085714,93.52,107.1042857,30.93142857,24.84857143,24.75428571,1.384285714,0.861428571,0.757142857,8.27,1.955714286,0.33,0.32,399.4285714,1041.494286
grass ,3.495714286,1749.428571,2.28,188.8885714,4.318571429,4.502857143,193.5142857,187.8071429,185.3542857,21.21142857,20.93571429,20.15,4.067142857,0.824285714,0.571428571,7.855714286,1.078571429,0.914285714,0.015714286,815.1428571,1189.734286
car ,1.3,192,0.552857143,109.6428571,1.361428571,1.372857143,99.05571429,123.3771429,106.5042857,41.90285714,46.61142857,45.15428571,1.147142857,0.691428571,0.86,6.937142857,1.935714286,0.242857143,-0.107142857,74.28571429,2557.21
tree ,2.587142857,1407.571429,1.71,106.3685714,2.504285714,2.748571429,141.3085714,82.32571429,95.46857143,42.54,29.48428571,29.76857143,2.147142857,0.871428571,0.635714286,8.158571429,1.46,0.695714286,0.254285714,437.1428571,1011.944286
shadow ,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81,9.3,8.4,7.77,1.16,0.71,0.88,6.79,2.24,0.21,0.05,194,1851.18
concrete ,3.955714286,8152.857143,1.938571429,217.5371429,3.658571429,4.092857143,190.0942857,230.8942857,231.6257143,9.911428571,10.11857143,10.29714286,1.6,0.654285714,0.601428571,7.072857143,1.54,0.58,-0.1,1462.571429,2073.892857
building ,2.552857143,911,1.477142857,217.2557143,2.278571429,3.001428571,189.11,230.2285714,232.4285714,17.69714286,21.60857143,20.81571429,3.921428571,0.59,0.697142857,7.37,1.314285714,0.848571429,-0.094285714,391.4285714,3126.918571
soil ,3.341428571,2149.285714,2.1,227.7885714,4.064285714,3.83,218.6214286,231.8642857,232.88,12.40857143,17.48285714,16.98857143,2.605714286,0.73,0.572857143,7.194285714,1.294285714,0.758571429,-0.027142857,739.7142857,1690.248571
tree ,3.191428571,1225.142857,2.075714286,133.2185714,3.658571429,3.477142857,170.19,108.9085714,120.5557143,42.26142857,36.75857143,35.30285714,2.318571429,0.857142857,0.557142857,8.238571429,1.408571429,0.652857143,0.218571429,506.2857143,1004.707143
asphalt ,4.931428571,4758.571429,1.772857143,80.38,3.045714286,5.151428571,66.77857143,84.76285714,89.59857143,17.80571429,17.95428571,18.14,1.705714286,0.68,0.667142857,7.75,1.652857143,0.591428571,-0.12,1510,1959.201429
concrete ,2.375714286,8692.142857,1.485714286,216.3828571,2.75,3.97,192.8457143,227.51,228.7942857,12.48857143,11.84285714,11.66142857,9.352857143,0.721428571,0.712857143,7.395714286,0.875714286,0.94,-0.081428571,1440.857143,1713.424286
grass ,2.56,14820.14286,0.872857143,159.6,1.808571429,2.671428571,209.4342857,125.7985714,143.5728571,9.092857143,9.138571429,8.195714286,1.707142857,0.672857143,0.847142857,6.845714286,2.094285714,0.541428571,0.25,1181.714286,1782.572857
tree ,3.848571429,2723.142857,1.691428571,131.9914286,2.797142857,3.987142857,193.9528571,93.04,108.9771429,23.45857143,18.11,16.73571429,1.535714286,0.791428571,0.65,8.162857143,1.67,0.517142857,0.352857143,820,1589.432857
tree ,2.972857143,1659,1.632857143,143.0085714,2.322857143,3.11,196.9157143,106.9528571,125.1614286,30.38,20.75714286,21.69285714,1.628571429,0.865714286,0.582857143,8.317142857,1.56,0.655714286,0.295714286,470.8571429,1077.984286
car ,1.294285714,124.1428571,0.84,188.9971429,1.408571429,1.418571429,163.4414286,199.0428571,204.5085714,42.63571429,46.15857143,45.06142857,1.74,0.574285714,0.791428571,6.668571429,1.781428571,0.454285714,-0.097142857,60.28571429,3343.344286
soil ,2.617142857,2248.857143,1.485714286,198.9314286,2.412857143,2.942857143,203.7414286,196.1557143,196.8985714,11.76857143,14.37142857,14.30428571,2.355714286,0.691428571,0.674285714,7.204285714,1.552857143,0.73,0.018571429,544.2857143,2028.372857
grass ,2.641428571,3169.571429,1.547142857,169.3,2.438571429,2.798571429,187.77,157.77,162.3557143,22.42285714,24.30285714,22.70142857,1.802857143,0.782857143,0.71,7.832857143,1.76,0.554285714,0.085714286,592.2857143,1390.728571
grass ,1.767142857,918.8571429,1.441428571,178.6028571,1.658571429,1.858571429,203.1185714,164.4314286,168.26,15.04142857,21.64142857,19.74714286,1.52,0.755714286,0.778571429,7.492857143,1.851428571,0.471428571,0.104285714,216.5714286,1645.632857
concrete ,4.75,7590.142857,3.867142857,232.8857143,9.2,5.177142857,204.8485714,246.3985714,247.4057143,8.794285714,7.15,6.87,2.382857143,0.675714286,0.375714286,6.917142857,0.935714286,0.71,-0.092857143,1866.571429,2101.048571
